# sarasa
0,24
0,4
0,20
0,6
0,13
0,14
0,16
0,1
0,2
0,23
0,10
1,2
1,3
1,24
1,5
1,21
1,20
1,10
1,15
1,19
1,11
1,8
1,4
1,17
2,3
2,24
2,22
2,8
2,12
2,15
2,10
2,19
3,4
3,6
3,8
3,22
3,11
3,19
3,15
3,16
3,17
4,7
4,24
4,20
4,18
4,12
4,21
4,22
4,11
4,14
4,8
4,15
4,17
4,6
5,8
5,10
5,11
5,24
5,20
5,19
5,17
5,23
5,7
6,9
6,10
6,22
6,16
6,7
6,17
6,19
6,11
7,10
7,11
7,12
7,20
7,23
7,21
7,22
7,14
8,9
8,14
8,22
8,21
8,15
8,11
8,23
9,10
9,11
9,12
9,13
9,14
9,15
9,23
9,17
10,13
10,15
10,19
10,21
10,12
10,20
10,23
10,17
11,12
11,13
11,21
11,22
11,23
11,19
11,24
11,18
11,16
12,13
12,17
12,20
12,21
12,24
13,16
13,17
13,19
13,24
13,14
13,21
13,22
14,17
14,19
14,20
14,24
15,16
15,19
15,21
15,17
15,18
16,17
16,19
16,21
16,22
17,18
17,22
18,20
18,22
18,19
18,21
19,20
19,22
19,24
19,23
20,21
20,22
20,24
22,23
